t,mag,magerr
52653.465077,14.794,0.015
52653.479789,14.843,0.015
52653.49544,14.814,0.015
52653.511324,14.707,0.013
52653.526089,14.635,0.012
52684.4367,14.544,0.015
52684.451876,14.685,0.016
52684.466677,14.896,0.028
52684.481471,15.115,0.04
52693.421472,14.464,0.011
52693.438095,14.468,0.011
52693.45355,14.482,0.011
52693.468961,14.485,0.011
52693.484364,14.487,0.011
52721.369253,14.81,0.013
52721.382162,14.738,0.013
52721.395085,14.664,0.013
52721.407966,14.574,0.011
52750.293026,14.501,0.015
52750.303639,14.511,0.011
52750.314237,14.512,0.013
52750.324836,14.491,0.013
52750.335435,14.486,0.011
52781.270027,14.557,0.013
52781.280608,14.516,0.013
52781.291298,14.526,0.013
52781.302867,14.496,0.013
52781.313999,14.482,0.013
52801.221367,14.606,0.031
52801.231608,14.686,0.035
52801.241748,14.794,0.037
52801.251816,14.954,0.043
52801.261979,15.131,0.048
52809.224398,14.497,0.011
52809.234265,14.528,0.011
52809.244071,14.558,0.011
52809.254066,14.635,0.013
52830.177076,14.563,0.018
52830.186892,14.538,0.018
52830.196792,14.522,0.017
52830.206618,14.494,0.017
52830.216392,14.501,0.017
52843.167465,14.468,0.013
52843.177399,14.473,0.013
52843.187322,14.505,0.014
52843.226472,14.741,0.017
52843.236721,14.766,0.018
52843.246832,14.819,0.018
52843.256836,14.82,0.02
52843.266859,14.795,0.02
52872.141522,14.653,0.018
52897.119813,14.449,0.011
52897.13155,14.463,0.011
52897.143281,14.468,0.013
52897.15502,14.474,0.015
52897.16699,14.484,0.015
53008.489265,14.528,0.013
53008.50373,14.621,0.013
53008.518384,14.729,0.013
53038.447815,14.755,0.022
53038.460714,14.948,0.03
53038.473315,15.106,0.03
53038.486302,15.284,0.044
53038.503271,15.288,0.046
53045.382811,14.602,0.017
53045.394055,14.669,0.018
53045.405383,14.721,0.018
53045.416646,14.767,0.018
53045.427828,14.798,0.018
53096.330781,14.472,0.017
53096.341006,14.479,0.017
53096.351406,14.472,0.015
53096.362171,14.477,0.015
53096.372896,14.473,0.015
53108.30908,14.534,0.009
53108.319955,14.511,0.009
53108.331012,14.501,0.009
53108.341908,14.498,0.009
53108.352835,14.497,0.009
53125.293129,14.652,0.018
53125.30307,14.721,0.02
53125.313017,14.849,0.022
53125.323012,14.987,0.024
53125.33298,15.115,0.026
53134.288405,14.483,0.011
53134.297965,14.469,0.011
53134.307465,14.49,0.013
53134.317007,14.473,0.013
53134.326507,14.472,0.013
53155.2551,15.061,0.026
53155.263891,15.151,0.03
53155.272656,15.236,0.031
53155.281435,15.231,0.031
53155.290201,15.135,0.03
53163.266246,14.791,0.043
53193.243556,15.123,0.037
53193.253655,15.046,0.02
53193.263747,14.929,0.02
53214.196904,14.469,0.02
53244.136717,14.458,0.015
53244.146897,14.428,0.015
53244.157102,14.426,0.015
53244.16729,14.421,0.015
53244.177493,14.437,0.017
53362.515319,14.669,0.015
53362.529861,14.88,0.035
53390.469512,14.515,0.011
53390.482218,14.498,0.011
53390.49491,14.497,0.011
53390.507607,14.522,0.011
53390.52077,14.508,0.011
53400.433154,14.479,0.013
53400.445616,14.514,0.013
53400.48296,14.837,0.018
53429.384617,14.65,0.015
53429.395898,14.646,0.015
53429.407197,14.592,0.015
53429.418483,14.562,0.015
53429.429771,14.536,0.013
53461.3394,14.486,0.011
53461.349735,14.48,0.011
53461.360253,14.489,0.011
53461.37061,14.488,0.011
53461.381712,14.499,0.011
53489.302763,14.474,0.011
53489.313418,14.416,0.026
53489.337369,14.453,0.011
53489.348863,14.442,0.011
53535.222944,14.619,0.013
53535.232963,14.554,0.013
53535.242997,14.528,0.013
53535.253001,14.494,0.011
53535.263027,14.468,0.011
53563.229712,14.649,0.018
53563.240323,14.776,0.017
53563.250908,14.946,0.017
53563.261483,15.066,0.02
53599.1474,14.483,0.017
53599.16001,14.485,0.018
53599.185207,14.45,0.017
53599.197805,14.432,0.018
53607.131557,14.621,0.026
53607.143164,14.579,0.015
53607.154607,14.511,0.031
53607.166035,14.464,0.011
53635.105593,14.484,0.015
53635.11607,14.501,0.011
53635.12661,14.538,0.011
53635.13704,14.597,0.013
53635.147446,14.672,0.017
53725.475795,14.436,0.013
53725.488946,14.44,0.013
53725.502327,14.442,0.013
53725.515583,14.442,0.013
53725.529321,14.45,0.011
53755.464319,14.41,0.013
53755.477102,14.433,0.013
53755.489974,14.456,0.013
53755.502868,14.452,0.013
53755.515625,14.486,0.013
53775.424143,14.48,0.024
53775.43714,14.476,0.022
53775.450122,14.464,0.022
53775.475879,14.482,0.022
53803.354813,14.607,0.015
53803.366865,14.711,0.015
53803.378903,14.895,0.018
53803.390912,15.058,0.02
53803.402758,15.196,0.021
53807.370937,14.535,0.018
53807.382943,14.603,0.02
53829.32776,14.783,0.018
53829.33839,14.797,0.02
53829.34897,14.726,0.02
53829.359547,14.659,0.016
53833.314682,15.034,0.016
53833.326507,15.19,0.02
53833.337978,15.201,0.02
53833.34867,15.116,0.018
53833.360086,14.976,0.015
53858.295524,14.413,0.016
53858.305637,14.386,0.016
53858.315552,14.432,0.038
53864.288645,14.506,0.02
53864.298252,14.54,0.02
53864.307869,14.594,0.021
53864.31771,14.632,0.021
53864.327419,14.689,0.023
53876.261571,14.489,0.025
53876.272517,14.464,0.025
53876.28346,14.425,0.04
53876.29432,14.464,0.025
53905.219287,14.797,0.015
53905.229201,14.835,0.015
53905.238933,14.832,0.015
53905.248627,14.805,0.015
53905.262152,14.715,0.015
53934.214418,14.434,0.012
53934.225762,14.405,0.013
53934.240502,14.393,0.015
53934.251119,14.401,0.015
53934.261657,14.412,0.018
53955.153808,14.513,0.024
53955.165993,14.57,0.026
53955.178258,14.697,0.03
53955.190492,14.761,0.033
53955.202574,14.875,0.037
53991.112799,14.442,0.016
53991.125193,14.411,0.015
53991.136913,14.413,0.013
53991.148758,14.404,0.013
53991.160681,14.394,0.015
53992.144608,14.634,0.016
54108.452272,14.603,0.017
54108.465087,14.731,0.02
54108.477831,14.887,0.024
54108.490617,15.037,0.024
54108.503373,15.185,0.028
54139.401651,14.48,0.02
54139.425117,14.486,0.017
54139.436922,14.491,0.022
54167.395634,14.436,0.015
54167.406797,14.46,0.013
54167.41793,14.428,0.011
54167.429062,14.434,0.013
54484.45433,14.702,0.02
54484.466425,14.6,0.018
54484.478605,14.552,0.018
54484.491267,14.528,0.016
54484.504544,14.493,0.016
54524.394723,14.49,0.015
54524.406362,14.523,0.016
54524.417842,14.512,0.015
54524.429783,14.512,0.015
54524.441476,14.517,0.015
54540.381555,14.503,0.025
54540.392389,14.493,0.026
54540.403268,14.504,0.028
54540.414138,14.502,0.028
54540.424929,14.489,0.026
54572.299929,14.602,0.018
54572.310843,14.67,0.018
54572.322447,14.754,0.023
54587.297726,15.274,0.046
54587.307872,15.338,0.048
54587.31808,15.249,0.045
54587.328433,15.106,0.038
54587.338592,14.956,0.036
54620.221478,14.515,0.03
54620.231778,14.496,0.028
54620.241909,14.476,0.028
54620.252059,14.458,0.028
54620.262199,14.434,0.028
